system_id,g_protein_family,source_replica,pdb_sha256,xtc_sha256,n_atoms,frame_count,frame_interval_ps,represented_span_ns,pdb_xtc_atom_counts_match,finite_coordinates,finite_monotonic_time,valid_periodic_box,atom_order_backbone_geometry,catastrophic_chain_break_absent,complex_separation_absent,coordinate_scatter_absent,full_frames_checked,release_action,full_frame_qc_status,component_scope,component_scope_authority,excluded_components,schema_version
Gi_7VGZ,Gi,1,6ba41782c1b4c59a442f02569b9acf525a696bacd127ea4cfdb4dc4a9c2eb5c9,af384c6779ed3cda680c8f4cc40f447d0c39f18d2ea48c7817e5d08f8a17fdcf,16627,2500,200.0,499.8,True,True,True,True,passed,True,True,True,2500,canonical_preserved,passed,proteins plus selected ligands retained during system preparation where applicable,author-defined system preparation and release selection,membrane;solvent;ions;ligands intentionally removed during system preparation,1.0
Gi_7VH0,Gi,1,e2f4b18d69fb0c59ced27cd4304dceb98e49f272ec552c2ee94df3ad850ea549,d4bab7ba5a18a5649d4fc1387a8e30f208fb6ece736f288f64cdf53d06b72ff5,16592,2500,200.0,499.8,True,True,True,True,passed,True,True,True,2500,canonical_preserved,passed,proteins plus selected ligands retained during system preparation where applicable,author-defined system preparation and release selection,membrane;solvent;ions;ligands intentionally removed during system preparation,1.0
Gi_7VIF,Gi,1,f9666e2588d399c2b2353b4fd930cd2f531db8cb45f3a9af139e86ed18f4bbd0,28d424d70b0e06ff350c279fda96fcd2f873a8f9a62c765dd3d2bef5b783a31f,16937,2500,200.0,499.8,True,True,True,True,passed,True,True,True,2500,canonical_preserved,passed,proteins plus selected ligands retained during system preparation where applicable,author-defined system preparation and release selection,membrane;solvent;ions;ligands intentionally removed during system preparation,1.0
Gi_7VKT,Gi,1,5498b0448b3ec0d6c5076f777e85e775e821c926033e9273b2b9f65f40a2dd13,ae127611b655439340d5452699143a3e0e04601646d887327a3441d4ba08966f,16453,2500,200.0,499.8,True,True,True,True,passed,True,True,True,2500,canonical_preserved,passed,proteins plus selected ligands retained during system preparation where applicable,author-defined system preparation and release selection,membrane;solvent;ions;ligands intentionally removed during system preparation,1.0
Gi_7VL9,Gi,1,bbfda5d4753e9a8bec3c2162ea29788910aaefdf1d6a37a92c574504b715e888,9584f391742fad97248fc6110416afe91c3971505b75dcc0f9b1e29c7d7369b8,17744,2500,200.0,499.8,True,True,True,True,passed,True,True,True,2500,canonical_preserved,passed,proteins plus selected ligands retained during system preparation where applicable,author-defined system preparation and release selection,membrane;solvent;ions;ligands intentionally removed during system preparation,1.0
Gi_7W0N,Gi,1,5d29a7164a9d41dbc007b97226d35639ee282746aa36c878cb951e9ab5d88960,40e1b82c6cdfcd382755fa286cc71243ef530b375e39791c52f8683a7ef22edd,16807,2500,200.0,499.8,True,True,True,True,passed,True,True,True,2500,canonical_preserved,passed,proteins plus selected ligands retained during system preparation where applicable,author-defined system preparation and release selection,membrane;solvent;ions;ligands intentionally removed during system preparation,1.0
Gi_7W6P,Gi,1,ef4f0182faa15d0965c04ce4794c8dbb03b974f3baba80cf66d08f9ff601cfd9,6c3ef79bd7c9489d0499031de954a2af4889c54aa81039d0d3c885358dd7714b,17940,2500,200.0,499.8,True,True,True,True,passed,True,True,True,2500,canonical_preserved,passed,proteins plus selected ligands retained during system preparation where applicable,author-defined system preparation and release selection,membrane;solvent;ions;ligands intentionally removed during system preparation,1.0
Gi_7WQ3,Gi,1,d2e94a34983fd8734e63fac104fe686e07966295b2c7de9fe1b51ecc45df50dc,cb6779463e7fcd4e8e7d3f6d55a7cebab2495a5d044aca2e7f8713d482ef39c2,17184,2500,200.0,499.8,True,True,True,True,passed,True,True,True,2500,canonical_preserved,passed,proteins plus selected ligands retained during system preparation where applicable,author-defined system preparation and release selection,membrane;solvent;ions;ligands intentionally removed during system preparation,1.0
Gi_7WU9,Gi,1,518a693043d5912cc753816f6cfc9ca9e199ed97429604bd7fc0315375bc5879,c38d5347b30b97716a0b4640ac7e2258fab5ac503c0a0b48986c8727af782d75,16836,2500,200.0,499.8,True,True,True,True,passed,True,True,True,2500,canonical_preserved,passed,proteins plus selected ligands retained during system preparation where applicable,author-defined system preparation and release selection,membrane;solvent;ions;ligands intentionally removed during system preparation,1.0
Gi_7WV9,Gi,1,90f2a872d17cafe9fef8c8ac1355b479ebd44ed5acd52971057369eefd7fca7d,9fdbd1fe2b9648237fa88846e7b9047b0c804b1eb22b0356de221c0bca3b1ff4,16719,2500,200.0,499.8,True,True,True,True,passed,True,True,True,2500,canonical_preserved,passed,proteins plus selected ligands retained during system preparation where applicable,author-defined system preparation and release selection,membrane;solvent;ions;ligands intentionally removed during system preparation,1.0
Gi_7WVU,Gi,1,c6f9e73aebbe575112d99d9aa99fb4801519a5c20891b664e685be94f5db82c7,aa4468b02a6830992d1193c44a17cd9177fc20d46b2343e22626883a33182d74,16587,2500,200.0,499.8,True,True,True,True,passed,True,True,True,2500,canonical_preserved,passed,proteins plus selected ligands retained during system preparation where applicable,author-defined system preparation and release selection,membrane;solvent;ions;ligands intentionally removed during system preparation,1.0
Gi_7WVX,Gi,1,81e634ac2b317ac0b3266bec8174c615771847b68322af938857a1ec93081538,1674a87be9fa955d163a8d06ee4293ed6b7943a2acfa864b9f30a30e2905b8d6,16634,2500,200.0,499.8,True,True,True,True,passed,True,True,True,2500,canonical_preserved,passed,proteins plus selected ligands retained during system preparation where applicable,author-defined system preparation and release selection,membrane;solvent;ions;ligands intentionally removed during system preparation,1.0
Gi_7X5H,Gi,1,3014493244bbd1343e65081cdc210e46b6ebf99800de64a51de6fde7dfe03d6f,e6e9d910659908e298d42dc01dea8d99f4ff93d8d588f42ded8c08107988db07,16501,2500,200.0,499.8,True,True,True,True,passed,True,True,True,2500,canonical_preserved,passed,proteins plus selected ligands retained during system preparation where applicable,author-defined system preparation and release selection,membrane;solvent;ions;ligands intentionally removed during system preparation,1.0
Gi_7X9A,Gi,1,57fdb41328f87bf958d72b787f85740bd58879453e6157674d865e44b989890e,2f6092d501ad303132511cf2726fcef96a6e2a64ad1946928c0875e499f615a5,17367,2500,200.0,499.8,True,True,True,True,passed,True,True,True,2500,canonical_preserved,passed,proteins plus selected ligands retained during system preparation where applicable,author-defined system preparation and release selection,membrane;solvent;ions;ligands intentionally removed during system preparation,1.0
Gi_7X9C,Gi,1,702b61d7ac45f01a3bf8e1e62b2c3dbdd37f5768aceb43cd62671216cef293d2,a5abe2258f93b64a76bbb0701072f519e3849c9d1d3034835be3d031f0c0ed87,17760,2500,200.0,499.8,True,True,True,True,passed,True,True,True,2500,canonical_preserved,passed,proteins plus selected ligands retained during system preparation where applicable,author-defined system preparation and release selection,membrane;solvent;ions;ligands intentionally removed during system preparation,1.0
Gi_7X9Y,Gi,1,83c1b261e370594529ac55db0748f87ece6f6b0ad1b227b1a07232b4ecda965b,f6404fdb932dcaf9e0ff955417819fd9a95d95198bf44cd2b59007c594f63121,16717,2500,200.0,499.8,True,True,True,True,passed,True,True,True,2500,canonical_preserved,passed,proteins plus selected ligands retained during system preparation where applicable,author-defined system preparation and release selection,membrane;solvent;ions;ligands intentionally removed during system preparation,1.0
Gi_7XA3,Gi,1,d386d688361eb97bdf11dadf8737159d151887671e819a14a75fb70025151c75,e666afa3363e98437613a7f6ec6b8af262d2c397b9d951ec835aa2fd726116c7,18176,2500,200.0,499.8,True,True,True,True,passed,True,True,True,2500,canonical_preserved,passed,proteins plus selected ligands retained during system preparation where applicable,author-defined system preparation and release selection,membrane;solvent;ions;ligands intentionally removed during system preparation,1.0
Gi_7XBX,Gi,1,0c09abbd0e15f707cd21e0ffd85727e050163f60b575710bca37cb10c7220775,84e016fd4afa8f1a9971297a1ded6b888321de35b46e5c2c321a1dcea0d9d14e,15493,2500,200.0,499.8,True,True,True,True,passed,True,True,True,2500,canonical_preserved,passed,proteins plus selected ligands retained during system preparation where applicable,author-defined system preparation and release selection,membrane;solvent;ions;ligands intentionally removed during system preparation,1.0
Gi_7XK2,Gi,1,7f8d5a960eb40ddecb451589ff305801093171456b7e5c29e4b3547dccf52094,d383872bcc8f5ca2661d4e3ac45a56328d235152858982883d095e2e0a5e1438,17076,2500,200.0,499.8,True,True,True,True,passed,True,True,True,2500,canonical_preserved,passed,proteins plus selected ligands retained during system preparation where applicable,author-defined system preparation and release selection,membrane;solvent;ions;ligands intentionally removed during system preparation,1.0
Gi_7XK8,Gi,1,b693b3586e320e5f9bffe3fcffa5c6a51c511f773f6b64969cedbd769ed7222f,99a46c27fb72ffb3bdc20a040d6a9010fd9f2d873a11b062e2f2478457a2c21d,17870,2500,200.0,499.8,True,True,True,True,passed,True,True,True,2500,canonical_preserved,passed,proteins plus selected ligands retained during system preparation where applicable,author-defined system preparation and release selection,membrane;solvent;ions;ligands intentionally removed during system preparation,1.0
Gi_7XMS,Gi,1,8b2c5b04403fe4101e469457c33d6a54628f3468cdb67dbea73a24f606116c90,589415b4d3f8a865ca6f7848e8aa84726dbc2483379b46c39dfda769179dfff7,15865,2500,200.0,499.8,True,True,True,True,passed,True,True,True,2500,canonical_preserved,passed,proteins plus selected ligands retained during system preparation where applicable,author-defined system preparation and release selection,membrane;solvent;ions;ligands intentionally removed during system preparation,1.0
Gi_7XTA,Gi,1,cf0923383bef0c08bf207bf08759abc7337ba933f66207a189d0447210fb3712,001f85445e159bcfce71aa5548359e30011c20320bf92616ff427a706c9222a5,16845,2500,200.0,499.8,True,True,True,True,passed,True,True,True,2500,canonical_preserved,passed,proteins plus selected ligands retained during system preparation where applicable,author-defined system preparation and release selection,membrane;solvent;ions;ligands intentionally removed during system preparation,1.0
Gi_7XXI,Gi,1,93e56b6901eb3500a5c7986a23f0b4070db80b3c42e767d824a0a2b538764b69,5b5144c1bbc811e5871787360ff4f5f6ff330e1c5e53386a93b7a997e800f009,17054,2500,200.0,499.8,True,True,True,True,passed,True,True,True,2500,canonical_preserved,passed,proteins plus selected ligands retained during system preparation where applicable,author-defined system preparation and release selection,membrane;solvent;ions;ligands intentionally removed during system preparation,1.0
Gi_7Y12,Gi,1,b4548b23a02f50ab2539509c0dc817529bcdbd3888576b5c8583f5f9a5c64b7e,1397f199ef81c2200bfdc64688b4d21a0492cd2d277beb79fcaa5f2d99b7d7e1,15954,2500,200.0,499.8,True,True,True,True,passed,True,True,True,2500,canonical_preserved,passed,proteins plus selected ligands retained during system preparation where applicable,author-defined system preparation and release selection,membrane;solvent;ions;ligands intentionally removed during system preparation,1.0
Gi_7Y89,Gi,1,0936cdf16ed1df572c3f952eddf36b264d6e8599c3854bdcc4ded646bffc85f5,8cb72515bf76b5d94180db43affc6a82b641d25002f6a76429bf4a8ec8c28676,16018,2500,200.0,499.8,True,True,True,True,passed,True,True,True,2500,canonical_preserved,passed,proteins plus selected ligands retained during system preparation where applicable,author-defined system preparation and release selection,membrane;solvent;ions;ligands intentionally removed during system preparation,1.0
Gi_7YK6,Gi,1,6c2956517a4d8aa8bb88dff911b248f9a429734246711bb81e61e934ae64e89c,e2164232446bb639025b3670db9a05afff7db731622ad7d65f99d8c1efcec7cb,16264,2500,200.0,499.8,True,True,True,True,passed,True,True,True,2500,trimmed_to_2500,passed,proteins plus selected ligands retained during system preparation where applicable,author-defined system preparation and release selection,membrane;solvent;ions;ligands intentionally removed during system preparation,1.0
Gi_7YK7,Gi,1,60a51439c6c153bcdf95dabf813b57ed2c33e976fb82bdb3a335e03bd29a7b8f,7c74db99f010ca4b81dd2755a675670f62a7f90a4b6f2db9468cba5d961c9f8b,16223,2500,200.0,499.8,True,True,True,True,passed,True,True,True,2500,canonical_preserved,passed,proteins plus selected ligands retained during system preparation where applicable,author-defined system preparation and release selection,membrane;solvent;ions;ligands intentionally removed during system preparation,1.0
Gi_7YKD,Gi,1,7c2ee54423d05a7e29cc6653c5eba4892ae0c8f5d09b3a0348d23aebb0fe9915,cb4f77af9964cc4bff2a6ce6ff9ec261780db1638d41a6899448449cc664a477,16552,2500,200.0,499.8,True,True,True,True,passed,True,True,True,2500,canonical_preserved,passed,proteins plus selected ligands retained during system preparation where applicable,author-defined system preparation and release selection,membrane;solvent;ions;ligands intentionally removed during system preparation,1.0
