system_id,pdb_id,g_protein_family,source_replica,archive_filename,n_atoms,component_scope,schema_version,release_file_id,file_role,archive_member_path,size_bytes,sha256,n_frames,frame_interval_ps,represented_span_ns
Gi_7EXD,7EXD,Gi,1,CoupledMD_reduced_trajectories_Gi-o.zip,17533,proteins plus selected ligands retained during system preparation where applicable,1.0,Gi_7EXD:trajectory_xtc,trajectory_xtc,Gi_7EXD/traj.xtc,166543896,0fd4c3e092d95f47391e42d2d4b75b4de0944ff4ac60281e68763f386b4c76d3,2500,200.000,499.800
Gi_7EZH,7EZH,Gi,1,CoupledMD_reduced_trajectories_Gi-o.zip,17440,proteins plus selected ligands retained during system preparation where applicable,1.0,Gi_7EZH:structure_pdb,structure_pdb,Gi_7EZH/structure.pdb,1412802,763ef403b231e72f3cca73d330b17054e4d7d6c7c61a47fe66d49ff46b1fadf5,1,,
Gi_7EZH,7EZH,Gi,1,CoupledMD_reduced_trajectories_Gi-o.zip,17440,proteins plus selected ligands retained during system preparation where applicable,1.0,Gi_7EZH:trajectory_xtc,trajectory_xtc,Gi_7EZH/traj.xtc,166196948,b018f8a0b8707735bcdc0919a9c86a2412ed69551252e33fa1bea0e0e08f6768,2500,200.000,499.800
Gi_7F1Q,7F1Q,Gi,1,CoupledMD_reduced_trajectories_Gi-o.zip,16925,proteins plus selected ligands retained during system preparation where applicable,1.0,Gi_7F1Q:structure_pdb,structure_pdb,Gi_7F1Q/structure.pdb,1371087,7ab6dbc2122ae3f648864c84142e5fc5df2c88ff978f63173099e31b7a0dc0e6,1,,
Gi_7F1Q,7F1Q,Gi,1,CoupledMD_reduced_trajectories_Gi-o.zip,16925,proteins plus selected ligands retained during system preparation where applicable,1.0,Gi_7F1Q:trajectory_xtc,trajectory_xtc,Gi_7F1Q/traj.xtc,160660292,0dc9c47094a2ef8fcd1b7d7e110a2aa243697ba30916f4aac23aed9b5d36251f,2500,200.000,499.800
Gi_7F8V,7F8V,Gi,1,CoupledMD_reduced_trajectories_Gi-o.zip,16404,proteins plus selected ligands retained during system preparation where applicable,1.0,Gi_7F8V:structure_pdb,structure_pdb,Gi_7F8V/structure.pdb,1328886,e1849ae4a614f49cbd44dc47ee9972d983bb49c74e7539740233071b30b86441,1,,
Gi_7F8V,7F8V,Gi,1,CoupledMD_reduced_trajectories_Gi-o.zip,16404,proteins plus selected ligands retained during system preparation where applicable,1.0,Gi_7F8V:trajectory_xtc,trajectory_xtc,Gi_7F8V/traj.xtc,156481092,0bc9671b71514bbae1b28f2ef64c802d0c9c40fb7490d681065f65632767bc7e,2500,200.000,499.800
Gi_7NA7,7NA7,Gi,1,CoupledMD_reduced_trajectories_Gi-o.zip,17043,proteins plus selected ligands retained during system preparation where applicable,1.0,Gi_7NA7:structure_pdb,structure_pdb,Gi_7NA7/structure.pdb,1380645,654de2f9d31047043eca7341c204c9613a8ed6544d39ede13ce66a0498ab003b,1,,
Gi_7NA7,7NA7,Gi,1,CoupledMD_reduced_trajectories_Gi-o.zip,17043,proteins plus selected ligands retained during system preparation where applicable,1.0,Gi_7NA7:trajectory_xtc,trajectory_xtc,Gi_7NA7/traj.xtc,162613412,76ca960b07bfdbd91ad93f0c497e284ed121fb50359a53e581f974dc171ebe03,2500,200.000,499.800
Gi_7QVM,7QVM,Gi,1,CoupledMD_reduced_trajectories_Gi-o.zip,16625,proteins plus selected ligands retained during system preparation where applicable,1.0,Gi_7QVM:structure_pdb,structure_pdb,Gi_7QVM/structure.pdb,1346787,1ae46eaed730dac986cfbac204685237278e4a3ae59ed437bfdc56b7f790ab44,1,,
Gi_7QVM,7QVM,Gi,1,CoupledMD_reduced_trajectories_Gi-o.zip,16625,proteins plus selected ligands retained during system preparation where applicable,1.0,Gi_7QVM:trajectory_xtc,trajectory_xtc,Gi_7QVM/traj.xtc,157992460,8edd194fa0ab69e0a8b58b953f27e019a5d738c72e4456f9c6b0417d053571fa,2500,200.000,499.800
Gi_7SQO,7SQO,Gi,1,CoupledMD_reduced_trajectories_Gi-o.zip,16796,proteins plus selected ligands retained during system preparation where applicable,1.0,Gi_7SQO:structure_pdb,structure_pdb,Gi_7SQO/structure.pdb,1360638,49f7951263f119afa153376ccac6c6d26532c101cff44ea58e6bfb2a1d7bd133,1,,
Gi_7SQO,7SQO,Gi,1,CoupledMD_reduced_trajectories_Gi-o.zip,16796,proteins plus selected ligands retained during system preparation where applicable,1.0,Gi_7SQO:trajectory_xtc,trajectory_xtc,Gi_7SQO/traj.xtc,159761868,2f9cd21f11c53177ce533b79e25206a8905b6bb218d84a787f2153632715147c,2500,200.000,499.800
Gi_7T10,7T10,Gi,1,CoupledMD_reduced_trajectories_Gi-o.zip,16482,proteins plus selected ligands retained during system preparation where applicable,1.0,Gi_7T10:structure_pdb,structure_pdb,Gi_7T10/structure.pdb,1335204,06caef2d46fed10259b35d4a689ddcab9ecee68a62b64583038477a560c9241b,1,,
Gi_7T10,7T10,Gi,1,CoupledMD_reduced_trajectories_Gi-o.zip,16482,proteins plus selected ligands retained during system preparation where applicable,1.0,Gi_7T10:trajectory_xtc,trajectory_xtc,Gi_7T10/traj.xtc,156580432,fefafe829c80ae2228e49e37e7ecf2f3d4e0dcd039b4198b5c62ba6ddaacbd53,2500,200.000,499.800
Gi_7T96,7T96,Gi,1,CoupledMD_reduced_trajectories_Gi-o.zip,18652,proteins plus selected ligands retained during system preparation where applicable,1.0,Gi_7T96:structure_pdb,structure_pdb,Gi_7T96/structure.pdb,1510974,a634cf66ebc20924f1cf6663d99c8b3c757d5d9fc298bbed1a5065bf746e6c0f,1,,
Gi_7T96,7T96,Gi,1,CoupledMD_reduced_trajectories_Gi-o.zip,18652,proteins plus selected ligands retained during system preparation where applicable,1.0,Gi_7T96:trajectory_xtc,trajectory_xtc,Gi_7T96/traj.xtc,177217268,7674dca4117123d28df238bb5b0aa6d8ef5f054e72992e04d17cea6ba09d28f0,2500,200.000,499.800
Gi_7TS0,7TS0,Gi,1,CoupledMD_reduced_trajectories_Gi-o.zip,18747,proteins plus selected ligands retained during system preparation where applicable,1.0,Gi_7TS0:structure_pdb,structure_pdb,Gi_7TS0/structure.pdb,1518669,4b7ae256fb22affb2d2cf4f35238734481be9fa41ae193417efa6dc37f5a9523,1,,
Gi_7TS0,7TS0,Gi,1,CoupledMD_reduced_trajectories_Gi-o.zip,18747,proteins plus selected ligands retained during system preparation where applicable,1.0,Gi_7TS0:trajectory_xtc,trajectory_xtc,Gi_7TS0/traj.xtc,178667040,2fc015472a2f494c097488e9bbff3af22439bb9a5d6323317533b160c029ee49,2500,200.000,499.800
Gi_7TUZ,7TUZ,Gi,1,CoupledMD_reduced_trajectories_Gi-o.zip,16987,proteins plus selected ligands retained during system preparation where applicable,1.0,Gi_7TUZ:structure_pdb,structure_pdb,Gi_7TUZ/structure.pdb,1376109,63f83bb4494647577da4ea49e21e4eff67a4c150209ac885953979d73f79ca2c,1,,
Gi_7TUZ,7TUZ,Gi,1,CoupledMD_reduced_trajectories_Gi-o.zip,16987,proteins plus selected ligands retained during system preparation where applicable,1.0,Gi_7TUZ:trajectory_xtc,trajectory_xtc,Gi_7TUZ/traj.xtc,161531360,60aa233f7cfe3a0e9bd18e35a79c4491e32a40c772461e82a33db07be72c542c,2500,200.000,499.800
Gi_7VDL,7VDL,Gi,1,CoupledMD_reduced_trajectories_Gi-o.zip,15812,proteins plus selected ligands retained during system preparation where applicable,1.0,Gi_7VDL:structure_pdb,structure_pdb,Gi_7VDL/structure.pdb,1280934,5f198d75dcd3b0ed380e0d3043df7d4d96131fe8710a7bd17c193208bb8dc396,1,,
Gi_7VDL,7VDL,Gi,1,CoupledMD_reduced_trajectories_Gi-o.zip,15812,proteins plus selected ligands retained during system preparation where applicable,1.0,Gi_7VDL:trajectory_xtc,trajectory_xtc,Gi_7VDL/traj.xtc,150896956,aa07dcc1aff6185947ed2c2bd59e4d9e91d54bb29d071a3e9e0b08bbc0086204,2500,200.000,499.800
Gi_7VGZ,7VGZ,Gi,1,CoupledMD_reduced_trajectories_Gi-o.zip,16627,proteins plus selected ligands retained during system preparation where applicable,1.0,Gi_7VGZ:structure_pdb,structure_pdb,Gi_7VGZ/structure.pdb,1346949,6ba41782c1b4c59a442f02569b9acf525a696bacd127ea4cfdb4dc4a9c2eb5c9,1,,
Gi_7VGZ,7VGZ,Gi,1,CoupledMD_reduced_trajectories_Gi-o.zip,16627,proteins plus selected ligands retained during system preparation where applicable,1.0,Gi_7VGZ:trajectory_xtc,trajectory_xtc,Gi_7VGZ/traj.xtc,158025740,af384c6779ed3cda680c8f4cc40f447d0c39f18d2ea48c7817e5d08f8a17fdcf,2500,200.000,499.800
Gi_7VH0,7VH0,Gi,1,CoupledMD_reduced_trajectories_Gi-o.zip,16592,proteins plus selected ligands retained during system preparation where applicable,1.0,Gi_7VH0:structure_pdb,structure_pdb,Gi_7VH0/structure.pdb,1344114,e2f4b18d69fb0c59ced27cd4304dceb98e49f272ec552c2ee94df3ad850ea549,1,,
Gi_7VH0,7VH0,Gi,1,CoupledMD_reduced_trajectories_Gi-o.zip,16592,proteins plus selected ligands retained during system preparation where applicable,1.0,Gi_7VH0:trajectory_xtc,trajectory_xtc,Gi_7VH0/traj.xtc,157660868,d4bab7ba5a18a5649d4fc1387a8e30f208fb6ece736f288f64cdf53d06b72ff5,2500,200.000,499.800
Gi_7VIF,7VIF,Gi,1,CoupledMD_reduced_trajectories_Gi-o.zip,16937,proteins plus selected ligands retained during system preparation where applicable,1.0,Gi_7VIF:structure_pdb,structure_pdb,Gi_7VIF/structure.pdb,1372059,f9666e2588d399c2b2353b4fd930cd2f531db8cb45f3a9af139e86ed18f4bbd0,1,,
Gi_7VIF,7VIF,Gi,1,CoupledMD_reduced_trajectories_Gi-o.zip,16937,proteins plus selected ligands retained during system preparation where applicable,1.0,Gi_7VIF:trajectory_xtc,trajectory_xtc,Gi_7VIF/traj.xtc,160792336,28d424d70b0e06ff350c279fda96fcd2f873a8f9a62c765dd3d2bef5b783a31f,2500,200.000,499.800
Gi_7VKT,7VKT,Gi,1,CoupledMD_reduced_trajectories_Gi-o.zip,16453,proteins plus selected ligands retained during system preparation where applicable,1.0,Gi_7VKT:structure_pdb,structure_pdb,Gi_7VKT/structure.pdb,1332855,5498b0448b3ec0d6c5076f777e85e775e821c926033e9273b2b9f65f40a2dd13,1,,
Gi_7VKT,7VKT,Gi,1,CoupledMD_reduced_trajectories_Gi-o.zip,16453,proteins plus selected ligands retained during system preparation where applicable,1.0,Gi_7VKT:trajectory_xtc,trajectory_xtc,Gi_7VKT/traj.xtc,156425684,ae127611b655439340d5452699143a3e0e04601646d887327a3441d4ba08966f,2500,200.000,499.800
Gi_7VL9,7VL9,Gi,1,CoupledMD_reduced_trajectories_Gi-o.zip,17744,proteins plus selected ligands retained during system preparation where applicable,1.0,Gi_7VL9:structure_pdb,structure_pdb,Gi_7VL9/structure.pdb,1437426,bbfda5d4753e9a8bec3c2162ea29788910aaefdf1d6a37a92c574504b715e888,1,,
Gi_7VL9,7VL9,Gi,1,CoupledMD_reduced_trajectories_Gi-o.zip,17744,proteins plus selected ligands retained during system preparation where applicable,1.0,Gi_7VL9:trajectory_xtc,trajectory_xtc,Gi_7VL9/traj.xtc,169303600,9584f391742fad97248fc6110416afe91c3971505b75dcc0f9b1e29c7d7369b8,2500,200.000,499.800
Gi_7W0N,7W0N,Gi,1,CoupledMD_reduced_trajectories_Gi-o.zip,16807,proteins plus selected ligands retained during system preparation where applicable,1.0,Gi_7W0N:structure_pdb,structure_pdb,Gi_7W0N/structure.pdb,1361529,5d29a7164a9d41dbc007b97226d35639ee282746aa36c878cb951e9ab5d88960,1,,
