system_id,replica,g_protein_family,g_protein_family_label,harmonized_observations,tm_core_rmsd_A_p95,galpha_interface_rmsd_A_p95,contact_retention_p05
Gi_8IC0,2,Gi,Gi/o,1001,1.9752192590348052,6.112978259803846,0.9375
Gi_8IC0,3,Gi,Gi/o,1001,2.265854429726244,7.360090076953544,0.94
Gi_8ID9,1,Gi,Gi/o,1001,1.677636799744804,5.038742359307497,0.92
Gi_8ID9,2,Gi,Gi/o,1001,2.0565028169510846,5.308237059396826,0.88
Gi_8ID9,3,Gi,Gi/o,1001,2.1776310917999657,8.181212661726386,0.9
Gi_8IHJ,1,Gi,Gi/o,1001,2.682330316313163,5.196997727634014,0.9310344827586208
Gi_8IHJ,2,Gi,Gi/o,1001,2.5921802867611548,5.890013592441263,1.0
Gi_8IHJ,3,Gi,Gi/o,1001,2.151603396792096,5.141353915959219,0.9545454545454546
Gi_8IRU,1,Gi,Gi/o,1001,1.650044740549613,10.574720998416751,0.8055555555555556
Gi_8IRU,2,Gi,Gi/o,1001,2.076119926372367,7.54019103096833,0.7866666666666666
Gi_8IRU,3,Gi,Gi/o,1001,1.7546960884607017,5.238447230359553,0.8309859154929577
Gi_8IU2,1,Gi,Gi/o,1001,2.3957515341679416,9.222409142417249,0.8181818181818182
Gi_8IU2,2,Gi,Gi/o,1001,2.383738791253339,6.721982379126152,1.0
Gi_8IU2,3,Gi,Gi/o,1001,2.353030367490856,8.569215715577466,0.8125
Gi_8IY5,1,Gi,Gi/o,1001,2.185730805585198,5.278790184607646,0.9298245614035088
Gi_8IY5,2,Gi,Gi/o,1001,2.3491290630565445,5.157080537171225,0.8518518518518519
Gi_8IY5,3,Gi,Gi/o,1001,1.9234462272271649,5.817191245792585,0.9333333333333332
Gi_8J18,1,Gi,Gi/o,1001,1.806557582533867,12.546616634527227,0.4607843137254901
Gi_8J18,2,Gi,Gi/o,1001,1.667656203105136,11.656153176949978,0.7473684210526316
Gi_8J18,3,Gi,Gi/o,1001,1.826592454522284,8.759014846947268,0.4554455445544554
Gi_8J21,1,Gi,Gi/o,1001,2.2123382704366223,6.705592046163568,1.0
Gi_8J21,2,Gi,Gi/o,1001,2.200499622234185,4.11274458821842,0.981132075471698
Gi_8J21,3,Gi,Gi/o,1001,1.9039655782563136,6.348978768024617,0.8
Gi_8J6D,1,Gi,Gi/o,1001,1.9587825592936667,3.1550415399682867,1.0
Gi_8J6D,2,Gi,Gi/o,1001,1.9536869063663267,6.507067606092003,0.967741935483871
Gi_8J6D,3,Gi,Gi/o,1001,1.6878577441022655,4.489997962583311,0.9705882352941176
Gi_8JZZ,1,Gi,Gi/o,1001,2.3969943003348937,6.636543008948201,0.8490566037735849
Gi_8JZZ,2,Gi,Gi/o,1001,2.2576978901905624,7.0543988155891695,0.875
